idSugestaoResposta,sugestaoResposta,comentario,IDComentarioFK,IDUsuarioFK
1220,"Olá,

Lamentamos muito pela experiência negativa que você teve em nosso restaurante. Agradecemos por compartilhar sua opinião e iremos analisar seus pontos mencionados para melhorar nosso atendimento, qualidade da comida e ambiente. Agradecemos novamente pelo feedback e esperamos ter a oportunidade de recebê-la novamente em nosso estabelecimento.

Atenciosamente,
A equipe do Picanha Mania","Almocei no picanha mania pra nunca mais, atendimento ruim, comida fraca e cheiro desagradável, assim.como em.em.todas o shopping. Não recomendo!",215409.0,115122.0
2086,"Olá, agradecemos pelo seu feedback. Sentimos muito pela experiência negativa com o atendimento. Vamos trabalhar para melhorar esse aspecto e garantir uma experiência mais positiva da próxima vez. Obrigada pela visita.","Gostei muito da comida, mais o atendimento foi muito ruim, lamentável.",168782.0,95880.0
2542,"Prezada cliente,

Agradecemos pelo seu feedback e lamentamos que a sua experiência no nosso estabelecimento não tenha sido satisfatória. Levaremos em consideração os pontos negativos mencionados para melhorar nossos serviços. 

Atenciosamente,
Equipe do restaurante",Estava sozinha e a hostes me indicou o Coco bambu for one. A ideia é muito bacana visto q os pratos do Coco bambu são grandes. A proposta é ser um “Fast food” com pratos do Coco bambu.. porém não é bem assim.. Pedi um...Mais,216273.0,113431.0
2751,"Agradecemos pelo seu feedback e por reconhecermos o bom atendimento e a qualidade da nossa cerveja. Lamentamos que a comida não tenha atendido às suas expectativas, especialmente o torresmo. Vamos revisar a preparação do prato para garantir que esteja de acordo com o padrão desejado. Agradecemos a oportunidade de melhorar e esperamos recebê-lo novamente em breve.",Cerveja Boa boa e gelada. Atendimento bom também mas a comida tem que melhorar muito. O torresmo não é de barriga e vem bem com gosto de peixe.,102781.0,70154.0
1438,"Olá, agradecemos pelo seu feedback. Lamentamos que você tenha achado a variedade de comida limitada pelo valor cobrado. Vamos levar em consideração sua opinião para melhorar nossa oferta de pratos. Esperamos que você nos dê uma nova chance no futuro.",Achei pouca variedade de comida pelo valor cobrado.,185133.0,26559.0
2646,"Olá, agradecemos por compartilhar sua opinião sobre o preço do prato de banda de tambaqui. Entendemos que o valor possa ter causado uma má impressão. Vamos levar em consideração seu feedback e revisar nossos preços para garantir que estejam alinhados com a qualidade dos nossos pratos. Agradecemos sua visita e esperamos ter a oportunidade de recebê-la novamente.","Banda de Tambaqui 90,00 reais",23980.0,43294.0
1851,"Prezada cliente, lamentamos profundamente o incidente que ocorreu durante sua visita ao nosso estabelecimento. A segurança e o bem-estar de nossos clientes são de extrema importância para nós. Entendemos sua frustração e estamos trabalhando para garantir que situações como essa não se repitam. Agradecemos por compartilhar sua experiência conosco e gostaríamos de oferecer nosso mais sincero pedido de desculpas.","Estava no SUP e uma lancha quase me mata, pois o irresponsável que estava dirigindo a mesma simplesmente saiu em velocidade sem se quer olhar para frente e quando passou no local de SUP tinham várias pessoas praticando e ele acertou a minha prancha, por...sorte me joguei na água antes de ser atropelada. Nunca mais volto a este lugar e jamais recomendarei.Mais",212068.0,119214.0
2755,"Prezada cliente, lamentamos profundamente que a sua experiência em nosso restaurante tenha sido insatisfatória. Gostaríamos de entender melhor o que ocorreu para que possamos melhorar nossos serviços. Agradecemos o seu feedback e estamos à disposição para ouvir suas preocupações.",Péssimo!!!,63954.0,15008.0
2875,"Caro cliente, agradecemos por compartilhar sua experiência conosco. Lamentamos que a música alta tenha prejudicado sua conversa. Vamos revisar o volume para garantir um ambiente mais agradável. Agradecemos pelos elogios ao atendimento e à comida. Esperamos ter a oportunidade de recebê-lo novamente em nosso restaurante.","Música muito alta, impossível de conversar. Comida ok, atendimento bom. Não voltaria...",147055.0,57681.0
2635,"Prezado cliente, lamentamos profundamente pelo ocorrido em relação ao peixe mal passado. Pedimos sinceras desculpas pelo transtorno causado e gostaríamos de ressaltar que essa não é a nossa prática comum. Vamos investigar o ocorrido e tomar as medidas necessárias para que situações como essa não se repitam. Agradecemos por compartilhar sua experiência e esperamos ter a oportunidade de recebê-lo novamente em nosso restaurante.",Peixe mal passado.,53766.0,49860.0
2435,"Olá, lamentamos muito pela má experiência que você teve em nosso restaurante no domingo. Pedimos desculpas pela desorganização e pela falta de atendimento adequado. Vamos analisar o ocorrido para que isso não se repita. Agradecemos pelo seu feedback e esperamos ter a oportunidade de recebê-lo novamente para oferecer uma experiência melhor.","Estive domingo lá, totalmente desorganizado, mesas lotadas e garçom perdido, nem consegui fazer pedido, tive que limpar a mesa, não recomendo nem de longe.",53734.0,44260.0
1928,"Olá, agradecemos pelo seu feedback. Lamentamos pela má experiência que você teve com o nosso atendimento. Vamos rever nossos processos para garantir que situações como essa não ocorram novamente. Agradecemos por compartilhar sua opinião e esperamos ter a oportunidade de melhor atendê-la no futuro.",O atendimento deixa a desejar! Fomos tomar café hoje!! Passamos mais de 10 minutos esperando para ser atendidos! Ate falei pra moça que  estava achando que nós eramos invisíveis!  Além de ser caro  o atendimento é péssimo! Acho uma pena porquer moro no conjunto! Se fosse bom ao menos o ATENDIMENTO  tamaria cafe todos os dias ! Mais como não é! Vou pro cafezium todo dia! Lá o ATENDIMENTO hiper mega melhor.,145805.0,74796.0
2503,"Caro cliente,

Lamentamos profundamente pela experiência negativa que você teve em nosso restaurante. Reconhecemos que houve falhas em relação ao filé de peixe e aos acompanhamentos oferecidos. 

Gostaríamos de ressaltar que estamos constantemente buscando melhorar nossos pratos e atender às expectativas dos nossos clientes. Levaremos suas críticas em consideração para aprimorar a qualidade dos nossos alimentos e garantir que situações como essa não se repitam.

Agradecemos por compartilhar sua opinião e esperamos ter a oportunidade de recebê-lo novamente em nosso estabelecimento, para que possamos proporcionar uma experiência gastronômica satisfatória.

Atenciosamente,
Equipe do restaurante","Era a loja menos procurada da praça do Millenium Shopping, e entendi depois de provar: o filé de peixe (não local) fedia (repito: fedia) e veio em filetinhos, ao contrário dos pedaços generosos da foto. Acompanhamentos em copinhos. Purê era processado, aquele de pó. Mais...caro que a concorrência. Foi um erro pedir aqui, e não o repetirei.Mais",208972.0,120993.0
1213,"Caro cliente, lamentamos sinceramente pela demora no atendimento e no serviço de delivery. Reconhecemos que isso causou uma má experiência para você. Estamos trabalhando para melhorar nosso tempo de espera e garantir uma entrega mais rápida. Agradecemos pelo seu feedback e esperamos ter a oportunidade de atendê-lo novamente em breve.","demora muito o atendimento, se chegar na hora do almoço com fome só é atendido uma hora depois. pior ainda se pedir pelo delivery demora quase 2 horas pra chegar em minha casa. o lugar é bonito porém tem um péssimo atendimento.",145245.0,46104.0
