IDComentario,comentario
7682,"Pedido demora muito para fazer Frango  mau temperado, batata frita murcha, primeira e única vez  . NÃO RECOMENDO!!!!!"
7686,"Foi ruim moito ruim!!!!!!! frango sem tempero batatas  encharcadas  no recomendo tenham cuidado a te o frango tenha um Gusto ruin do uma estrela mais no merecem né uma!!!"
7690,"Atendimento pelo número (92) 3085-7577 é péssimo, atendente parece estar fazendo um favor. Não sei se a loja saiu do IFood, mas não está aparecendo a loja para eu fazer o pedido. É lamentável ter um atendimento desses, em que a atendente prefere desligar na sua cara, ao invés de vender pelo Telefone. Ou tentar ajudar o cliente."
7691,"A gente pediu coxinha de frango e tava completamente estranho, estava verde e com cheiro desagradável, parece que tinha fungos... eca... nunca mais como lá..."
7792,"Se você está com fome não venha nessa local demorou 1:40 minutos para um simples hambúrguer sair ( e ai da veio cru), nunca mais vou, e sempre recomendaria para não irem..."
7831,"Primeiramente o caminho é ruim.
Chegando lá, vc paga pra estacionar (15 reais).
Depois, vc paga (12 reais) por pessoa pra atravessar para o local.
O local é bonito, mas quando vc vai em duas pessoas, parece que a atenção não é a mesma para com o garçom. Vc fica tentando chamar levantando o braço e passando raiva.
Enfim, não foi como eu gostaria e não voltarei."
7844,"Tivemos azar o filé de pirarucu seco e cheio de óleo a salada tomate demasiado maduro tempero ruim as folhas de manjericão cheias de pontos pretos. Tudo tem que ser pago macarrões flutuantes coletes lancha de ida e volta e parque de estacionamento. Péssima experiência sobretudo na comida caro mal servido peixe seco sem sabor  cheio de óleo já velho. Mais um dos locais em Manaus onde não irei mais"
7849,"Som muito alto e atendimento ruim. Pedimos várias vezes para abaixar e não abaixaram. Comida razoável"
7868,"Poucos garçons para atender e uma demora muito a cima da média para chegar os pedidos"
7869,"O atendimento é péssimo. .. voce vem como turista, se você fazer alguma pergunta, eles não faz questão de responder"
7870,"Serviço muito demorado, e usam como desculpa que está lotado, como se isso fosse um problema. Mais de 2h para chegar um prato de comida é brincadeira"
7899,"Ontem tive o desprazer de receber um comunicado de três clientes da nossa agência de turismo, indicamos o flutuante abaré para recepciona-las numa tarde agradável, infelizmente não teve nada de agradável, pos as mesmas reclamaram conosco que, foram mal atendidas, não receberam a devida atenção como clientes pagantes. Infelizmente será a última vez que indicaremos esse estabelecimento."
7913,"Esperava mais !  Primeiro que para estar no local você já paga $10 por ser uma “reserva “ não sei de quem  , não sei quem disse isso . Enfim , depois você paga mais $7 por pessoa pra chegar no flutuante . Blz pedi 1 prato o mais básico q que tinha custava $54 , incluía pirarucu um pedaço , arroz , batata frita e salada .( nem pra ter um feijão pra molhar a comida ) , quando recebi a comida foi o pior pois percebi que era ÓLEO com comida , você paga $54 em um prato pra comer uma coisa oleosa ! Sinceramente espero nunca mais voltar nesse local !
Fui perguntar para a garçonete , onde pegava o macarrão emprestado para poder nadar no rio , e ela me disse que era comprado ou alugava o colete ! Sinceramente fiquei com muita raiva nessa hora por cobrarem isso , ainda por cima por esse valor $15 macarrão e $10 o aluguel do colete !
Na hora de embora tive de pagar mais $7 por pessoa pra voltar .
Mais um detalhe que não citei foi que a área vip mais bonitinha com colchete etc custava $30 reais por pessoa , sinceramente não sei o que tem na cabeça para cobrar um valor desse !
Estou real decepcionada com o local e com Manaus em geral , eu achava que tratavam com mais respeito os turistas !"
7937,"Achei um desrespeito com as pessoas que ficam na fila de espera, pois as vagas são abertas, dão prioridade para pessoas conhecidas de quem já está no flutuante."
7943,"Ponto positivo: a natureza linda. Ponto negativo: muito comercial para nada. Estacionamento no meio do mato é pago por carro. Depois paga por pessoa para entrar. Atendimento péssimo, super demorou para alguém vir perguntar o que queríamos comer, depois outra demora para chegar o prato. Passei vergonha, pois levei um amigo de outro estado. Preços das comidas não tão acessíveis para uma qualidade mais ou menos , e a estrutura deixa a desejar. Não tenho problema em pagar caro com tanto que ofereçam uma serviço a altura dos preços."
7956,"Demora para atender. Quando pedido é um século pra chegar a bebida, achei péssimo. Só é nome."
8028,"Ambiente não é familiar
Preços  meio salgado
Sem salva vidas"
8043,"Comida horrível. Extremamente salgada. Além de ser tudo muito caro com padrão muito baixo"
8051,"O ambiente não é apropriado para família. É um bar e restaurante preparado para encontros, portanto deveria deixar claro isto na descrição. Meus filhos ficaram frustrados, pois tivemos que voltar logo após chegarmos. Perdemos a oportunidade de diversão em família no dia que o visitamos."
8114,"Na chegada embora fosse uma quinta feira nos estorquiram em R$15,00 para estacionamento e R$8,00 para cada para uma viagem de 3 min de barco ate o flutuante. A piscina de tela no rio, imunda. A agua do rio turva, o complexo é grande... imagino os banheiros liberando os dejetos bem debaixo de nos... sem coragem pra entrar no rio, so almoçamos. O file (R$57,00) estava correto,o arroz frio. As instalacoes, bastante detonadas. Caro so pra vir ver o rio..."
