idSugestaoResposta,sugestaoResposta,comentario,IDComentarioFK,IDUsuarioFK,,,,,,,,,,,
836,"Olá, agradecemos pelo seu feedback sobre o nosso serviço de delivery. Sentimos muito pela carne ter chegado fria. Vamos verificar o que aconteceu e tomar as medidas necessárias para que isso não se repita. Agradecemos também pelo elogio sobre a rapidez na entrega do pedido. Esperamos que nos dê uma nova oportunidade para mostrar a qualidade dos nossos pratos.",chegou muito fria a carne. muito embora o pedido chegou muito rápido.,232818,131581,,,,,,,,,,,
837,"Olá! Agradecemos pelo seu feedback. Estamos sempre buscando melhorar nossos serviços. Se você puder nos fornecer mais detalhes sobre o que exatamente precisa ser melhorado, ficaríamos muito gratos. Estamos comprometidos em oferecer a melhor experiência possível aos nossos clientes. Obrigada!",poderia melhorar! ,203653,111863,,,,,,,,,,,
838,"Olá, agradecemos pelo seu feedback. Sentimos muito pela má experiência que você teve em relação aos valores dos alimentos. Vamos revisar nossos processos para garantir que todas as informações sejam comunicadas de forma clara e transparente aos clientes. Esperamos ter a oportunidade de recebê-la novamente e proporcionar uma experiência melhor.","Local legal, mas eles não são  realistas em relação  aos valores.
Tu se serve é  pesado e no final tem alimentos  que são  outro valor e só avisam depois.",158570,72705,,,,,,,,,,,
839,"Olá, agradecemos pelo seu feedback. Lamentamos muito pela má experiência que teve com nosso atendimento. Vamos trabalhar para melhorar a atitude e disposição de nossos funcionários. Esperamos que nos dê uma nova chance no futuro.","O lanche é ótimo, porém o atendimento é péssimo, funcionários de má vontade e mal humorados, foi a minha primeira experiência no espaço físico e eu odiei.",200605,105870,,,,,,,,,,,
840,"Olá, agradecemos por compartilhar sua experiência conosco. Sentimos muito pela quantidade menor do seu pedido em comparação ao que é servido em nosso restaurante. Gostaríamos de ressaltar que estamos sempre trabalhando para garantir a qualidade e a consistência de nossos pratos, mesmo no serviço de delivery. Levaremos seu feedback em consideração para melhorar nosso serviço. Esperamos ter a oportunidade de atendê-lo novamente e proporcionar uma experiência mais satisfatória.",Pedido servido em quantidade bem menor do que no restaurante!! ,205604,112286,,,,,,,,,,,
841,"Caro cliente,

Lamentamos sinceramente pela experiência negativa que você teve em nosso restaurante. Nós entendemos que a qualidade dos alimentos e os preços são aspectos essenciais para a satisfação dos clientes, e estamos comprometidos em melhorar.

Pedimos desculpas pela almôndega Parm que você recebeu. Reconhecemos que não atendemos às suas expectativas ao cortá-la em pedaços menores e utilizar almôndegas congeladas. Vamos revisar nossos processos e treinar nossa equipe para evitar que isso aconteça novamente.

Também levamos a sério a questão do molho com sabor amargo e do papel queimado. Iremos investigar o ocorrido para entender o que aconteceu e tomar as medidas necessárias para evitar problemas semelhantes no futuro.

Agradecemos por compartilhar seu feedback conosco, pois isso nos ajuda a melhorar. Esperamos ter a oportunidade de reconquistar sua confiança em uma futura visita.

Atenciosamente,
Equipe do Restaurante Francos Pizza","Algo aconteceu com Francos Pizza. Este lugar definitivamente não é o mesmo. A qualidade dos alimentos diminuiu significativamente e os preços triplicaram. Eu pedi uma almôndega Parm e foi uma almôndega cortada ao meio três vezes. As almôndegas foram almôndegas congeladas no molho provei muito amargo o papel foi queimado! Nós adorávamos este lugar, nunca mais pediremos aqui!",113570,103843,,,,,,,,,,,
843,"Prezado cliente, lamentamos sinceramente pelo ocorrido com a divisão da conta. Pedimos desculpas pelo inconveniente causado e vamos investigar o ocorrido para evitar que situações como essa se repitam. Agradecemos por compartilhar sua experiência conosco, pois nos ajuda a melhorar nossos serviços. Estamos à disposição para qualquer esclarecimento adicional.","Passei meu cartão por aproximação, era pra dividir a conta, passaram toda a conta pra mim e metade para minha amiga!!!",143753,101528,,,,,,,,,,,
844,"Olá, agradecemos pelo seu feedback. Lamentamos muito pela experiência negativa que você teve em relação ao atendimento e aos itens incorretos trazidos para a sua mesa. Vamos rever esses pontos para garantir que não ocorram novamente. Agradecemos a sua compreensão e esperamos ter a oportunidade de melhor atendê-la no futuro.",Atendimento demorado e confuso. Trouxeram para a mesa coisas que não pedimos duas vezes.,57946,10216,,,,,,,,,,,
845,"Olá, sinto muito pela experiência negativa que você teve com o nosso serviço de delivery. Pedimos desculpas pelo erro no seu pedido, isso não deveria ter acontecido. Vamos revisar nossos processos para garantir que isso não se repita. Agradecemos pelo seu feedback e esperamos ter a oportunidade de melhor atendê-la no futuro.",Mandaram purê de saco em um prato de mais de 50 reais. Tá de brincadeira… ,204022,112070,,,,,,,,,,,
846,"Olá, agradeço por compartilhar sua experiência conosco. Lamentamos que tenha se sentido incomodada com a lotação e a falta de cadeiras para sentar. Estamos cientes dessas questões e estamos trabalhando para melhorar o conforto dos nossos clientes. Quanto ao tempo para pedir a conta, vamos rever nosso processo para agilizar esse momento. Agradecemos seu feedback e esperamos ter a oportunidade de recebê-la novamente em nosso restaurante.","Muito lotado , nos finais de semana tem música ao vivo . Mas em compensação não tem cadeiras para sentar , ou seja se você quiser beber lá , você terá que ficar em pé. E na hora de pedir a conta você pode ficar horas esperando.",217794,116634,,,,,,,,,,,
847,"Caro cliente, agradecemos por compartilhar sua experiência conosco. Lamentamos que os pratos não tenham atendido às suas expectativas em relação ao tempero. Vamos revisar nossos processos de preparo para garantir uma melhor experiência gastronômica. Agradecemos pelo elogio ao ambiente e ao atendimento, e esperamos recebê-lo novamente em breve para uma experiência mais satisfatória.",Faltou tempero. Coxinha pequena e com gosto de comida de doente. Moqueca de pirarucu sem tempero e porção mizeravi.  Ambiente bonito e ótimo atendimento.,95717,25409,,,,,,,,,,,
848,"Cara cliente,

Agradecemos pelo seu feedback e lamentamos sinceramente pela demora em servir o jantar em sua mesa. Reconhecemos que não estávamos preparados para lidar com eventos de 30 pessoas e entendemos que isso causou uma má experiência para você. 

Levamos suas críticas a sério e estamos trabalhando para melhorar nosso atendimento. Pedimos desculpas pelo inconveniente causado e esperamos que você nos dê outra oportunidade para mostrar nosso compromisso em oferecer uma experiência gastronômica de qualidade.

Atenciosamente,
A equipe do restaurante","Neste momento no restaurante.
Demora imensa para vir o jantar para a mesa.
Não  estão  preparados para eventos de 30 pessoas,  imaginem se fossem mais pessoas.
Não  recomendo.
P.S.  após o jantar,  falando da comida. Não  valeu a pena tanta espera. E não  é  a primeira vez que venho aqui, nunca aconteceu isso.  Espero que melhore o atendimento",30513,8708,,,,,,,,,,,
849,"Olá, lamentamos muito por qualquer inconveniente que você tenha experimentado em nosso restaurante. Agradecemos por compartilhar suas preocupações conosco. Vamos trabalhar para melhorar a organização e treinamento de nossa equipe de atendimento. Valorizamos suas palavras sobre as apresentações e esperamos que você nos dê outra chance para oferecer uma experiência melhor.","Saia bem cedo para conseguir uma mesa, a desorganização é total... Nunca dão jeito para nada, um atendente mais perdido que o outro. As apresentações é o que salva o lugar!",142401,91172,,,,,,,,,,,
850,"Olá, agradecemos por compartilhar sua experiência conosco. Lamentamos qualquer inconveniente causado pelos preços dos refrigerantes e da água. Vamos revisar nossas políticas de preços para garantir que estejam alinhadas com as embalagens retornáveis. Quanto à retenção do cupom fiscal, entendemos suas preocupações e vamos analisar internamente para garantir que isso não aconteça novamente. Agradecemos por nos informar sobre esses problemas e faremos o possível para resolvê-los. Esperamos ter a oportunidade de recebê-la novamente em nosso restaurante.","A comida é boamas preços abusivos, estao cobrando no refrigerante de 2 litros ( na embagem esta escrito preco sugerido 3.49 na embalagem retornavel) estao cobrando 15 reais e a agua 5 reais
Sem contar no absurdo de reterem o cupom fiscal na saida alegando fechamento de caixa no final da noite , quando questonei a moca que fica na porta de saida informou que só é  dada ao cliente se pedir, isso é um absurdo!! É dever do estabelecimento, ainda me deixaram esperando la fora para me entregar , isso precisa ser resolvido, nunca vi um estabelecimento que fica com o cupom fiscal do cliente pq precisa fazer fechamento de caixa ..quando fechamos a conta a atendente informou que precisava apresentar na saida , ainda reforcei é  so mostrar ne, ela disse que sim",130301,83783,,,,,,,,,,,
851,"Olá, agradecemos pelo seu feedback sobre nossa entrega. Lamentamos que a comida tenha chegado fria e que a entrega tenha demorado. Vamos revisar nossos processos para garantir que isso não aconteça novamente. Quanto ao gengibre, vamos verificar para garantir que a quantidade seja adequada. Agradecemos por compartilhar sua experiência conosco e esperamos ter a oportunidade de melhor atendê-la no futuro.","comida fria, mais ou menos. entrega super demorada. pouquíssimo gengibre pago á parte. ",203420,111228,,,,,,,,,,,
852,Olá! Agradecemos por compartilhar sua opinião sobre nosso restaurante. Lamentamos que sua experiência com o tambaqui assado não tenha sido satisfatória. Vamos revisar nossos processos para garantir que isso não aconteça novamente. Valorizamos seu feedback e esperamos ter a oportunidade de surpreendê-la positivamente em uma próxima visita.,"a Caldera de vcs é excelente... mas o tambaqui assado deixa demaaais a desejar, o sabor não é bom, na vdd, não tem sabor .. peixe completamente seco, frio e com aparência nada boa.",233562,131828,,,,,,,,,,,
853,"Caro cliente,

Lamentamos profundamente pela experiência negativa que teve em nosso restaurante. Pedimos desculpas pela demora no pedido e pela qualidade insatisfatória do frango e da batata frita. Levaremos seus comentários em consideração para melhorar nossos processos e garantir uma experiência melhor para todos os clientes. Esperamos ter uma nova oportunidade de lhe proporcionar uma experiência positiva.

Atenciosamente,
Equipe do restaurante","Pedido demora muito para fazer Frango  mau temperado, batata frita murcha, primeira e única vez  . NÃO RECOMENDO!!!!!",7682,26629,,,,,,,,,,,
854,"Caro cliente, lamentamos sinceramente que você tenha tido uma experiência negativa em nosso restaurante. Agradecemos por compartilhar seu feedback e gostaríamos de pedir desculpas pelo atendimento que não atendeu às suas expectativas. Estamos comprometidos em melhorar e garantir que todos os nossos clientes sejam atendidos com a devida atenção e cordialidade. Agradecemos novamente pelo seu feedback e esperamos ter a oportunidade de lhe proporcionar uma experiência melhor no futuro.","Lugar absurdamente caro, para um atendimento péssimo",133708,70629,,,,,,,,,,,
855,"Prezada cliente,

Lamentamos sinceramente pelo incidente que ocorreu durante sua visita ao nosso estabelecimento. Entendemos que a situação foi extremamente desagradável e compreendemos sua frustração.

Gostaríamos de esclarecer que o incidente ocorreu fora de nosso controle, uma vez que se tratou de uma situação envolvendo uma lancha fora de nosso estabelecimento. No entanto, estamos cientes de que isso afetou sua experiência conosco.

Pedimos desculpas pelo ocorrido e ressaltamos que a segurança de nossos clientes é de extrema importância para nós. Faremos o possível para evitar que situações semelhantes ocorram no futuro.

Agradecemos por compartilhar sua experiência conosco e levaremos suas observações em consideração para melhorar nossos serviços. Esperamos ter a oportunidade de recebê-la novamente em nosso restaurante no futuro.

Atenciosamente,
A equipe do restaurante","Estava no SUP e uma lancha quase me mata, pois o irresponsável que estava dirigindo a mesma simplesmente saiu em velocidade sem se quer olhar para frente e quando passou no local de SUP tinham várias pessoas praticando e ele acertou a minha prancha, por...sorte me joguei na água antes de ser atropelada. Nunca mais volto a este lugar e jamais recomendarei.Mais",221190,119214,,,,,,,,,,,
856,"Caro cliente,

Agradecemos por compartilhar sua experiência conosco. Lamentamos sinceramente pelos pontos negativos mencionados em relação ao pão de alho e aos espetinhos de picanha. Vamos analisar essas questões com nossa equipe para garantir que isso não se repita no futuro. Valorizamos seu feedback e esperamos ter a oportunidade de recebê-lo novamente para oferecer uma experiência melhor.

Atenciosamente,

[Seu nome]","Vamos lá , estacionamento amplo , salão bem grande e arejado , atendimento da primeira garçonete foi bom . Ela tirou o pedido de bebida e comida, pedimos de entrada um pão de alho e 2 espetinhos de “Picanha “( segue foto do espetinho de picanha) e um de coração . A outra garçonete que trouxe o pão de alho ( que de alho não tem nada , é um pão carregado de orégano , simplesmente horrível) , ela simplesmente jogou o pão na mesa e virou as costas , chamei ela e perguntei como se comia o pão , ele foi lá buscar os pratos e largou na ponta da mesa e foi embora. Passado uns 10 minutos chegou os espetos de picanha, que de espetinho não tinha nada , era umas fatias de picanha jogada dentro do prato e por cima jogaram o espeto de coração . Nunca mais coloco meus pés nesse lugar e não recomendo a ninguém.",139072,94499,,,,,,,,,,,
857,"Olá, agradecemos pelo seu feedback. Lamentamos pela demora no seu pedido e pelo pão frio. Vamos reforçar nossos processos para garantir que isso não aconteça novamente. Esperamos ter a oportunidade de recebê-la novamente em nosso restaurante.","Fomos tomar café da manhã, o pedido demorou e quando veio o pão estava frio.",102077,74100,,,,,,,,,,,
858,"Olá, agradecemos por compartilhar sua opinião sobre nossa pizza. Lamentamos que a qualidade do queijo não tenha atendido suas expectativas. Vamos revisar nossos ingredientes para garantir que ofereçamos a melhor experiência aos nossos clientes. Obrigada pelo seu feedback.","Um queijo extremamente amarelo com o gosto totalmente diferente do mussarela, muito parecido com queijo prato e que não combina com pizza. Infelizmente, uma pizza cara que não atendeu minhas expectativas, já foi melhor.",234609,132129,,,,,,,,,,,
859,"Olá, agradecemos por compartilhar sua experiência conosco. Lamentamos sinceramente pelo atendimento aquém do esperado. Vamos reavaliar nossos processos para garantir que isso não se repita. Obrigada pelo seu feedback.",Atendimento pessimo,110527,56845,,,,,,,,,,,
860,"Olá, agradecemos pelo seu feedback sobre a sua experiência em nosso restaurante. Lamentamos muito que o catchup de goiabada não tenha sido entregue conforme anunciado e que o hambúrguer tenha chegado frio. Vamos reforçar a comunicação com nossa equipe para evitar esse tipo de erro no futuro. Esperamos ter a oportunidade de lhe proporcionar uma experiência melhor em uma próxima visita. Obrigada pela sua compreensão.","A propaganda dizia catchup de goiabada mas veio catchup normal, e o hambúrguer veio frio.",232865,131633,,,,,,,,,,,
