idSugestaoResposta,sugestaoResposta,comentario,IDComentarioFK,IDUsuarioFK
1706,"Caro cliente, lamentamos profundamente que sua experiência no nosso restaurante tenha sido decepcionante. Agradecemos por compartilhar seu feedback e gostaríamos de entender melhor o que aconteceu para melhorar nossos serviços.",Um lixo,37586,34365
2133,"Olá, agradecemos pelo seu feedback. Lamentamos que você tenha achado nossos preços altos. Estamos sempre buscando maneiras de oferecer uma experiência gastronômica de qualidade a um preço justo. Se tivermos a oportunidade de recebê-la novamente, esperamos que possamos surpreendê-la positivamente. Obrigada pela sua visita.",Preço fora da realidade,48945,39603
1233,"Olá, lamento muito pela sua má experiência em nosso restaurante. Nós levamos todos os comentários a sério e estamos trabalhando para melhorar nosso atendimento. Agradecemos por nos informar e esperamos ter a oportunidade de atendê-la novamente.","Vá se vc quiser ser mal atendido e quiser sair com fome...

Já foi muito bom... hoje a maior decepção!!!",9292,55912
1570,"Caro cliente, agradecemos pelo seu feedback sobre a qualidade da carne. Lamentamos que você tenha tido uma experiência negativa. Vamos revisar nossos fornecedores e garantir que a qualidade seja restabelecida. Esperamos ter a oportunidade de recebê-lo novamente em nosso restaurante.",já  foi melhor . a carne não  está  sendo de boa qualidade  ultimamente. deixei de comer  neste local.,190779,54743
891,"Caro cliente, lamentamos profundamente pela experiência negativa que teve em nosso restaurante. Agradecemos por compartilhar suas preocupações conosco. Estamos comprometidos em melhorar nossos serviços e garantir uma experiência agradável para todos os clientes. Vamos analisar suas reclamações e tomar medidas para corrigir os problemas mencionados. Pedimos desculpas pela demora na entrega do seu sanduíche e pela confusão entre os atendentes. Faremos o possível para garantir que isso não se repita. Esperamos ter a oportunidade de recebê-lo novamente e proporcionar uma experiência positiva.","Restaurante PÉSSIMO! Enquanto estive aqui houve 3 reclamações de outros clientes, atendimento decadente, demora para entrega de um simples sanduíche, confusão entre os atendentes, um lugar triste de se vir, vim com fome, sai com raiva!",138653,77001
1799,"Caro cliente, agradecemos pelo seu feedback. Lamentamos que a sua última experiência não tenha sido satisfatória. Vamos revisar a quantidade da tigela de farofa e verificar os preços para garantir que estejam adequados. Quanto ao volume da música, vamos tomar medidas para garantir que seja agradável para todos os clientes. Valorizamos sua opinião e faremos o possível para melhorar.","Mudei de opinião. Na última vez que fui lá, a tigela de farofa diminuiu, o preço aumentou e colocaram uma cantora pra gritar, com a caixa de som absurda.
Toda aquela ideia de ambiente agradável e familiar foi pro ralo. Virou um bar.",62825,67382
1604,"Olá, agradecemos pelo seu feedback. Sentimos muito pela má impressão causada pelo atendimento e pela comida feita às pressas. Vamos revisar nossos processos internos para melhorar esses pontos. Agradecemos por nos ajudar a identificar áreas em que podemos melhorar.","Atendimento ruim
Comida feita às pressas - pirarucu com pitiú",200312,92560
946,"Caro cliente, agradecemos pelo seu feedback. Lamentamos que você tenha sentido que há poucas opções de carne assadas e saladas em nosso restaurante. Levamos suas considerações em consideração e estamos trabalhando para melhorar nossa variedade de pratos. Esperamos ter a oportunidade de recebê-lo novamente em breve.","Poucas opções de carne assadas, saladas, já foi bom esse restaurante!",165754,21476
1373,"Olá, agradecemos seu feedback. Lamentamos que você tenha percebido uma queda na qualidade e variedade dos alimentos. Faremos uma avaliação interna para identificar possíveis melhorias. A opinião dos nossos clientes é muito importante para nós. Esperamos ter a oportunidade de recebê-la novamente e oferecer uma experiência melhor.",Achei que a qualidade e variedade dos alimentos tiveram uma queda.,57372,28541
2053,"Prezada cliente, lamentamos profundamente pela experiência negativa que teve com nosso restaurante. Reconhecemos que houve uma falha no atendimento e na entrega do seu pedido do Combo do dia dos namorados. Pedimos desculpas pela demora na entrega e pela falta de comunicação adequada. Entendemos que isso acabou prejudicando o seu jantar do dia dos namorados e entendemos a sua frustração. Agradecemos por nos informar sobre essa situação e vamos tomar as medidas necessárias para evitar que isso ocorra novamente no futuro.","Horrível, fiz o pedido do Combo do dia dos namorados hoje dia 12.06 as 18:30h são 22:40h e meu pedido nao chegou, nao atendem em nenhum número, consegui por um milagre falar com a atendente que disse que meu pedido ja saiu e tem mais de 1h isso, o pedido ja consta como finalizado, como assiiiiimmmm finalizado se não chegou na minha casa, parabéns pelo péssimo atendimento, desrespeito ao cliente e falta de compromisso, conseguiram acabar com a meu jantar do dia dos namorados ?",30682,9249
1700,"Olá! Agradecemos por compartilhar sua experiência conosco. Lamentamos que tenha se decepcionado com o taco. Vamos revisar nossos processos para garantir que o taco seja servido com a quantidade adequada de alface e com menos óleo. Quanto ao molho, vamos verificar se houve alguma alteração na quantidade e na forma de servir. Agradecemos seu feedback e esperamos ter a oportunidade de melhorar sua experiência em uma próxima visita.","Já foi bem melhor. Hoje o taco vem quase sem alface e muito oleoso. E o molho que vinha a parte, agora vem dentro e bem menos do que vinha antes?",108006,70508
1549,"Caro cliente, agradecemos pelo seu feedback. Lamentamos que a sua experiência com a nossa pizza portuguesa não tenha correspondido às suas expectativas. Vamos revisar a nossa receita e garantir que ela esteja à altura do que prometemos. Quanto ao preço, levamos em consideração a qualidade dos ingredientes utilizados. Esperamos que nos dê uma nova oportunidade para melhor atendê-lo.",Pizza cara e não oferece o que promete uma pizza portuguesa.,130465,74430
1904,"Caro cliente, lamentamos muito pela má experiência que você teve em nosso restaurante. Agradecemos por compartilhar sua opinião e gostaríamos de esclarecer que estamos trabalhando para melhorar nosso atendimento. Esperamos ter a oportunidade de recebê-lo novamente para proporcionar uma experiência positiva.",Caro e péssimo atendimento,75200,66321
1420,"Olá, agradecemos por compartilhar sua experiência conosco. Lamentamos que a qualidade das carnes não tenha atendido às suas expectativas. Vamos revisar nossos processos para garantir que isso não aconteça novamente. Valorizamos seu feedback e esperamos ter a oportunidade de recebê-la novamente para oferecer uma experiência melhor.","Carnes duras, pouca picanha, só a costela estava macia....esperava mais pelo preço",68938,12977
2148,"Olá,

Agradecemos por compartilhar sua experiência conosco. Lamentamos muito que a comida não tenha atendido às suas expectativas, especialmente no que diz respeito às opções veganas e vegetarianas. Vamos revisar nossos pratos para garantir que eles atendam às necessidades de todos os nossos clientes.

Pedimos desculpas também pelo inconveniente da mesa embaixo do ar condicionado com vazamento. Vamos verificar e resolver esse problema imediatamente.

Agradecemos pelo elogio ao nosso atendimento. Valorizamos muito a satisfação dos nossos clientes e estamos sempre empenhados em oferecer um serviço de qualidade.

Esperamos ter a oportunidade de recebê-la novamente em nosso restaurante e proporcionar uma experiência gastronômica mais satisfatória.

Atenciosamente,
[Seu nome]","O lugar é bonito, mas a comida deixou a desejar. Se você é vegano ou vegetariano, não vá. Além do prato custar caríssimo, a lasanha de berinjela estava doce e o risoto fungui tinha caldo de carne. Nos colocaram em uma mesa embaixo do ar condicionado que pingava. Mas o atendimento é muito bom.",30524,8487
2010,"Caro cliente, lamentamos sinceramente pela experiência negativa que você teve com o tempo de entrega informado. Nós nos esforçamos para fornecer estimativas precisas, mas entendemos que desta vez não atendemos às suas expectativas. Vamos revisar nossos processos internos para garantir que isso não aconteça novamente. Agradecemos seu feedback e esperamos ter a oportunidade de servi-lo novamente no futuro.",tempo de entrega informado completamente diferente da realidade,204945,111439
1838,"Caro cliente, lamentamos muito pela má experiência que você teve com nosso atendimento. Pedimos desculpas pelo ocorrido e gostaríamos de entender melhor o que aconteceu para que possamos melhorar. Agradecemos por compartilhar seu feedback conosco.","Péssimo Atendimento , liguei para me informar desligaram na minha Cara e depois não atenderam !! Não Recomendo.",170881,98119
1286,"Olá, lamento muito por sua experiência negativa com a pizza. Agradeço por compartilhar seu feedback conosco. Vou verificar o ocorrido e trabalhar para melhorar a qualidade de nossos pratos.","Horrível, pizza queimada e muito ruim.",128191,100291
